tradeDate,open,high,low,close,volume
2015/1/5,3258.62,3369.28,3253.87,3350.52,531352384
2015/1/6,3330.8,3394.22,3303.17,3351.45,501661696
2015/1/7,3326.64,3374.89,3312.21,3373.95,391918880
2015/1/8,3371.96,3381.57,3285.1,3293.46,371131168
2015/1/9,3276.97,3404.83,3267.51,3285.4,410240864
2015/1/12,3258.21,3275.18,3191.58,3229.32,322064672
2015/1/13,3223.54,3259.38,3214.4,3235.3,230725760
2015/1/14,3242.34,3268.48,3193.98,3222.43,240190752
2015/1/15,3224.07,3337.08,3207.55,3336.45,282546240
2015/1/16,3343.6,3400.32,3340.49,3376.5,339876768
2015/1/19,3189.73,3262.21,3095.07,3116.35,401098784
2015/1/20,3114.56,3190.25,3100.48,3173.05,357080800
2015/1/21,3189.09,3337,3178.34,3323.61,410956032
2015/1/22,3327.32,3352.37,3293.98,3343.34,353382976
2015/1/23,3357.1,3406.79,3328.29,3351.76,366249248
2015/1/26,3347.26,3384.8,3321.31,3383.17,317540992
2015/1/27,3389.85,3390.22,3290.22,3352.96,374517536
2015/1/28,3325.72,3354.8,3294.64,3305.74,301927104
2015/1/29,3259,3286.79,3234.24,3262.3,274658624
2015/1/30,3273.75,3288.5,3210.31,3210.36,258312544
2015/2/2,3148.13,3175.12,3122.57,3128.3,250861632
2015/2/3,3156.09,3207.93,3129.73,3204.9,248192160
2015/2/4,3212.82,3238.98,3171.13,3174.12,249098080
2015/2/5,3251.21,3251.21,3135.82,3136.53,306139296
2015/2/6,3120.09,3129.54,3052.93,3075.9,246749664
2015/2/9,3063.51,3119.03,3049.11,3095.12,206108384
2015/2/10,3090.49,3142.1,3084.25,3141.59,193817136
2015/2/11,3145.77,3166.41,3139.05,3157.7,172840096
2015/2/12,3157.96,3181.77,3134.24,3173.41,194592304
2015/2/13,3186.81,3237.15,3182.79,3203.83,261290432
2015/2/16,3206.13,3228.85,3195.87,3222.36,223797424
2015/2/17,3230.87,3255.73,3230.77,3246.9,228332624
2015/2/25,3256.48,3257.22,3215.55,3228.84,233348096
2015/2/26,3222.14,3300.62,3202.18,3298.36,301263872
2015/2/27,3296.83,3324.55,3291.01,3310.3,299163712
2015/3/2,3332.72,3336.76,3298.66,3336.28,346445664
2015/3/3,3317.68,3317.68,3260.42,3263.05,382044608
2015/3/4,3264.17,3286.59,3250.48,3279.53,293639520
2015/3/5,3264.08,3266.63,3221.66,3248.48,320663584
2015/3/6,3248.04,3266.92,3234.53,3241.18,282915776
2015/3/9,3224.31,3307.7,3198.37,3302.4,321495424
2015/3/10,3289.08,3309.91,3277.09,3286.07,285817568
2015/3/11,3289.59,3325.05,3278.47,3290.89,282985536
2015/3/12,3314.81,3360.05,3300.49,3349.32,357295104
2015/3/13,3359.49,3391.26,3352.14,3372.9,328410144
2015/3/16,3391.15,3449.3,3377.09,3449.3,399132416
2015/3/17,3469.6,3504.12,3459.68,3502.85,520939520
2015/3/18,3510.5,3577.65,3503.85,3577.3,545217152
2015/3/19,3576.02,3600.67,3546.84,3582.27,537346624
2015/3/20,3587.08,3632.34,3569.37,3617.32,516661664
2015/3/23,3640.1,3688.25,3635.48,3687.73,536062848
2015/3/24,3692.57,3715.87,3600.7,3691.4,639554688
2015/3/25,3680.95,3693.14,3634.56,3660.73,521886336
2015/3/26,3641.93,3707.32,3615.01,3682.1,488647200
2015/3/27,3686.12,3710.48,3656.83,3691.1,408945152
2015/3/30,3710.61,3795.92,3710.61,3786.57,564702336
2015/3/31,3822.99,3835.57,3737.04,3747.89,561676032
2015/4/1,3748.34,3817.08,3742.21,3810.29,447458304
2015/4/2,3827.68,3835.45,3775.88,3825.78,479299680
2015/4/3,3803.37,3864.39,3792.21,3863.92,473033312
2015/4/7,3899.41,3961.66,3891.73,3961.37,570447552
2015/4/8,3976.53,4000.22,3903.64,3994.81,618085440
2015/4/9,4006.12,4016.39,3900.03,3957.53,585176832
2015/4/10,3947.49,4040.35,3929.32,4034.31,484283616
2015/4/13,4072.72,4128.06,4057.29,4121.71,589814208
2015/4/14,4125.77,4168.35,4091.26,4135.56,610683520
2015/4/15,4135.64,4175.49,4069.01,4084.15,613005824
2015/4/16,4055.91,4195.31,4031.24,4194.81,551242944
2015/4/17,4254.72,4317.22,4238.91,4287.29,701706240
2015/4/20,4301.35,4356,4190.68,4217.07,857132800
2015/4/21,4212.18,4294.37,4188.56,4293.62,634470656
2015/4/22,4304.6,4400.19,4297.95,4398.49,680305088
2015/4/23,4414.48,4444.41,4358.84,4414.51,667344640
2015/4/24,4355.95,4416.38,4318.12,4393.69,628555008
2015/4/27,4441.93,4529.74,4441.93,4527.4,671088512
2015/4/28,4527.64,4572.39,4432.9,4476.21,767676416
2015/4/29,4446.12,4499.94,4398.64,4476.62,519834208
2015/4/30,4483.01,4507.34,4441.05,4441.66,526727968
2015/5/4,4441.34,4487.57,4387.43,4480.46,494173408
2015/5/5,4479.85,4488.87,4282.24,4298.71,572858624
2015/5/6,4311.64,4376.35,4187.37,4229.27,481732992
2015/5/7,4197.9,4213.76,4108.01,4112.21,394566656
2015/5/8,4152.98,4206.86,4099.04,4205.92,397428096
2015/5/11,4231.27,4334.88,4187.82,4333.58,488750528
2015/5/12,4342.37,4402.31,4317.98,4401.22,521866400
2015/5/13,4402.38,4415.63,4342.48,4375.76,510490464
2015/5/14,4372.82,4397.74,4329.04,4378.31,449077920
2015/5/15,4366.82,4366.82,4278.55,4308.69,439706208
2015/5/18,4277.89,4324.83,4260.51,4283.49,380057440
2015/5/19,4285.78,4418.4,4285.78,4417.55,436735232
2015/5/20,4434.98,4520.54,4432.28,4446.29,514106208
2015/5/21,4456.43,4530.48,4438.26,4529.42,464996512
2015/5/22,4584.98,4658.27,4562.99,4657.6,655591296
2015/5/25,4660.08,4814.67,4656.82,4813.8,682461376
2015/5/26,4854.85,4911.68,4779.08,4910.9,704892800
2015/5/27,4932.85,4958.16,4857.06,4941.71,681165376
2015/5/28,4943.74,4986.5,4614.24,4620.27,782964608
2015/5/29,4603.47,4698.19,4431.56,4611.74,611262400
2015/6/1,4633.1,4829.5,4615.23,4828.74,593389056
2015/6/2,4844.7,4911.57,4797.55,4910.53,623748096
2015/6/3,4924.38,4942.06,4822.44,4909.98,611453824
2015/6/4,4912.95,4947.96,4647.41,4947.1,674952384
2015/6/5,5016.09,5051.63,4898.07,5023.1,772240832
2015/6/8,5045.69,5146.95,4997.48,5131.88,855035072
2015/6/9,5145.98,5147.45,5042.96,5113.53,729893824
2015/6/10,5049.2,5164.16,5001.49,5106.04,596969024
2015/6/11,5101.44,5122.46,5050.76,5121.59,563990528
2015/6/12,5143.34,5178.19,5103.4,5166.35,625627840
2015/6/15,5174.42,5176.79,5048.74,5062.99,637803968
2015/6/16,5004.41,5029.68,4842.1,4887.43,550801408
2015/6/17,4890.55,4983.66,4767.22,4967.9,537101184
2015/6/18,4942.52,4966.77,4780.87,4785.36,507440896
2015/6/19,4689.93,4744.08,4476.5,4478.36,452689632
2015/6/23,4471.61,4577.94,4264.77,4576.49,473526144
2015/6/24,4604.58,4691.77,4552.13,4690.15,543003712
2015/6/25,4711.76,4720.7,4483.55,4527.78,572797568
2015/6/26,4399.93,4456.9,4139.53,4192.87,565217856
2015/6/29,4289.77,4297.47,3875.05,4053.03,673786368
2015/6/30,4006.75,4279.97,3847.88,4277.22,709176640
2015/7/1,4214.15,4317.05,4043.37,4053.7,598769408
2015/7/2,4058.62,4080.39,3795.25,3912.77,586015616
2015/7/3,3793.71,3927.13,3629.56,3686.92,548163072
2015/7/6,3975.21,3975.21,3653.04,3775.91,831139264
2015/7/7,3654.78,3750.57,3585.4,3727.12,698818688
2015/7/8,3467.4,3599.25,3421.53,3507.19,680356928
2015/7/9,3432.45,3748.48,3373.54,3709.33,656914624
2015/7/10,3707.46,3959.22,3677.43,3877.8,586364288
2015/7/13,3918.99,4030.19,3858.64,3970.39,643489024
2015/7/14,3958.37,4035.43,3855.56,3924.49,670558784
2015/7/15,3874.97,3914.27,3741.25,3805.7,601301312
2015/7/16,3758.5,3877.51,3688.44,3823.18,492256192
2015/7/17,3831.42,3994.48,3814.15,3957.35,481726272
2015/7/20,3948.42,4021.33,3927.12,3992.11,539106688
2015/7/21,3939.9,4041.82,3912.8,4017.67,504288032
2015/7/22,3996.43,4042.34,3960.86,4026.05,520732224
2015/7/23,4022.27,4132.61,4019.04,4123.92,563585984
2015/7/24,4124.75,4184.45,4044.83,4070.91,627424896
2015/7/27,3985.57,4051.16,3720.44,3725.56,556003264
2015/7/28,3573.14,3762.53,3537.36,3663,563330048
2015/7/29,3689.82,3792.07,3612.06,3789.17,434352096
2015/7/30,3773.79,3844.37,3685.96,3705.77,457943232
2015/7/31,3655.67,3729.51,3620.17,3663.73,350955744
2015/8/3,3614.99,3648.94,3549.5,3622.91,363968736
2015/8/4,3621.85,3757.03,3601.29,3756.54,362901664
2015/8/5,3745.65,3782.35,3676.39,3694.57,366422976
2015/8/6,3625.5,3710.57,3614.74,3661.54,274074656
2015/8/7,3692.61,3756.74,3686.3,3744.2,340757184
2015/8/10,3786.03,3943.62,3775.85,3928.42,497304320
2015/8/11,3928.81,3970.34,3891.18,3927.91,538923456
2015/8/12,3881.23,3937.77,3871.14,3886.32,442688288
2015/8/13,3869.91,3955.79,3838.16,3954.56,430073312
2015/8/14,3976.41,4000.68,3939.84,3965.33,467988224
2015/8/17,3947.84,3994.54,3907.4,3993.67,460432064
2015/8/18,3999.13,4006.34,3743.39,3748.16,543770816
2015/8/19,3646.8,3811.43,3558.38,3794.11,475396224
2015/8/20,3754.57,3788.01,3663.61,3664.29,390063072
2015/8/21,3609.96,3652.84,3490.54,3507.74,369920480
2015/8/24,3373.48,3388.36,3191.88,3209.91,334671808
2015/8/25,3004.13,3123.03,2947.94,2964.97,352325120
2015/8/26,2980.79,3092.04,2850.71,2927.29,466699648
2015/8/27,2978.03,3085.42,2906.49,3083.59,400308384
2015/8/28,3125.26,3235.84,3102.95,3232.35,443136928
2015/8/31,3203.56,3207.86,3109.16,3205.99,397431392
2015/9/1,3157.83,3180.33,3053.74,3166.62,432432480
2015/9/2,3027.68,3194.48,3019.09,3160.17,438170144
2015/9/7,3149.38,3217.58,3066.3,3080.42,296468128
2015/9/8,3054.44,3174.71,3011.12,3170.45,255415472
2015/9/9,3182.55,3256.74,3165.7,3243.09,375327968
2015/9/10,3190.55,3243.28,3178.9,3197.89,273261760
