tradeDate,open,high,low,close,volume
2012/5/11,6110,6115,6000,6002,206804
2012/5/14,6040,6045,5960,5976,207668
2012/5/15,5895,5910,5711,5842,445150
2012/5/16,5750,5786,5643,5647,599202
2012/5/17,5705,5787,5691,5763,558288
2012/5/18,5808,5881,5768,5863,695576
2012/5/21,5957,5964,5903,5940,405766
2012/5/22,5920,5930,5882,5890,371088
2012/5/23,5800,5818,5759,5791,300170
2012/5/24,5785,5838,5766,5832,301270
2012/5/25,5858,5912,5804,5904,420278
2012/5/28,5940,5992,5916,5986,381418
2012/5/29,5933,5982,5922,5962,349920
2012/5/30,5817,5855,5798,5801,349610
2012/5/31,5836,5878,5826,5851,365958
2012/6/1,5800,5840,5771,5832,296984
2012/6/4,5923,5998,5901,5949,393688
2012/6/5,5954,5985,5921,5931,323394
2012/6/6,6001,6092,5991,6088,343846
2012/6/7,6145,6154,6110,6134,272726
2012/6/8,6005,6023,5905,5935,316480
2012/6/11,6054,6099,6031,6062,207094
2012/6/12,5992,6038,5978,5989,243702
2012/6/13,6050,6083,6040,6083,184636
2012/6/14,6068,6128,6061,6080,189246
2012/6/15,6050,6085,6032,6070,208546
2012/6/18,6087,6095,6003,6010,309918
2012/6/19,6058,6080,6045,6061,168258
2012/6/20,5996,6029,5990,6010,175782
2012/6/21,5900,5925,5893,5911,141540
2012/6/25,5700,5742,5691,5716,162514
2012/6/26,5830,5830,5783,5791,139496
2012/6/27,5767,5771,5725,5745,134318
2012/6/28,5778,5782,5733,5736,120340
2012/6/29,5651,5764,5632,5751,234654
2012/7/2,5831,5835,5785,5796,156980
2012/7/3,5820,5915,5810,5908,186102
2012/7/4,5952,5979,5932,5948,133860
2012/7/5,5960,5995,5944,5994,118224
2012/7/6,5929,5932,5864,5872,148200
2012/7/9,5790,5832,5782,5808,141662
2012/7/10,5813,5834,5795,5798,100886
2012/7/11,5755,5780,5750,5775,95462
2012/7/12,5774,5779,5728,5743,113558
2012/7/13,5770,5830,5764,5828,96864
2012/7/16,5810,5834,5787,5828,90630
2012/7/17,5845,5877,5812,5830,104858
2012/7/18,5835,5838,5780,5811,76044
2012/7/19,5815,5828,5797,5822,64602
2012/7/20,5809,5811,5787,5799,61744
2012/7/23,5806,5808,5755,5761,60596
2012/7/24,5796,5822,5792,5794,63916
2012/7/25,5784,5817,5740,5740,81420
2012/7/26,5840,5886,5820,5872,100676
2012/7/27,5862,5932,5862,5927,83740
2012/7/30,5923,5925,5887,5893,66076
2012/7/31,5978,6044,5972,6024,124084
2012/8/1,5965,5992,5949,5990,76542
2012/8/2,5880,5910,5880,5896,67152
2012/8/3,5866,5868,5842,5862,54240
2012/8/6,5970,5972,5941,5952,48632
2012/8/7,5966,5974,5956,5966,38914
2012/8/8,5999,5999,5953,5955,56720
2012/8/9,5988,6022,5980,6020,70034
2012/8/10,6005,6006,5961,5976,56594
2012/8/13,6004,6024,5986,5995,78452
2012/8/14,5974,5980,5944,5976,62094
2012/8/15,5961,5969,5950,5953,42428
2012/8/16,5969,5978,5945,5952,40694
2012/8/17,6016,6037,6003,6031,58038
2012/8/20,6000,6034,5996,6019,53440
2012/8/21,6100,6158,6094,6148,119104
2012/8/22,6208,6266,6202,6260,112388
2012/8/23,6337,6565,6333,6526,418584
2012/8/24,6518,6548,6459,6487,313812
2012/8/27,6588,6708,6585,6631,469970
2012/8/28,6551,6575,6516,6566,226954
2012/8/29,6569,6624,6560,6620,305838
2012/8/30,6580,6587,6525,6573,251916
2012/8/31,6500,6504,6463,6494,208992
2012/9/3,6731,6849,6730,6820,309066
2012/9/4,6900,6932,6837,6876,270772
2012/9/5,6869,6904,6855,6879,198896
2012/9/6,6900,7072,6889,7043,504852
2012/9/7,6986,7006,6802,6874,566630
2012/9/10,7182,7272,7175,7213,382854
2012/9/11,7170,7195,7115,7188,361810
2012/9/12,7200,7221,7166,7183,283694
2012/9/13,7109,7123,7051,7056,261606
2012/9/14,7450,7506,7356,7384,421404
2012/9/17,7399,7405,7342,7352,225840
2012/9/18,7275,7295,7220,7289,251114
2012/9/19,7374,7438,7300,7435,388030
2012/9/20,7367,7405,7283,7307,382430
2012/9/21,7396,7419,7364,7409,305904
2012/9/24,7254,7258,7098,7165,333096
2012/9/25,7215,7220,7123,7159,223366
2012/9/26,7120,7193,7118,7150,214708
2012/9/27,7175,7237,7168,7234,264536
2012/9/28,7370,7405,7310,7378,228456
2012/10/8,7256,7264,7035,7107,325632
2012/10/9,7135,7163,7098,7105,203654
2012/10/10,7050,7091,7022,7078,206778
2012/10/11,7058,7140,7047,7120,251396
2012/10/12,7094,7143,7065,7081,226352
2012/10/15,6880,6924,6865,6884,203468
2012/10/16,6822,6873,6807,6868,204062
2012/10/17,6900,6906,6860,6863,147290
2012/10/18,6871,6915,6839,6883,182880
2012/10/19,6832,6848,6758,6759,199004
2012/10/22,6667,6749,6663,6746,161502
2012/10/23,6747,6770,6704,6718,190198
2012/10/24,6682,6739,6668,6739,211926
2012/10/25,6730,6833,6713,6807,368844
2012/10/26,6801,6829,6639,6680,344532
2012/10/29,6768,6780,6717,6721,237754
2012/10/30,6710,6724,6670,6708,195374
2012/10/31,6705,6730,6682,6719,152548
2012/11/1,6778,6846,6755,6834,176210
2012/11/2,6852,6860,6703,6752,253004
2012/11/5,6579,6606,6495,6520,268620
2012/11/6,6552,6580,6536,6567,167174
2012/11/7,6671,6785,6648,6754,358534
2012/11/8,6656,6712,6655,6681,206414
2012/11/9,6750,6809,6746,6772,262132
2012/11/12,6835,6848,6765,6819,250436
2012/11/13,6725,6741,6688,6732,187232
2012/11/14,6800,6818,6767,6816,181226
2012/11/15,6775,6809,6766,6782,173616
2012/11/16,6788,6796,6702,6728,215194
2012/11/19,6745,6805,6741,6786,192192
2012/11/20,6867,6907,6853,6882,218090
2012/11/21,6879,6879,6816,6845,159308
2012/11/22,6913,6938,6884,6884,149390
2012/11/23,6888,6933,6855,6926,157372
2012/11/26,7010,7048,6985,7036,225962
2012/11/27,7058,7073,7020,7029,203708
2012/11/28,7005,7012,6932,6967,208008
2012/11/29,6940,6944,6875,6881,202262
2012/11/30,6980,6993,6943,6978,210734
2012/12/3,6880,6880,6804,6815,237572
2012/12/4,6801,6801,6695,6716,251742
2012/12/5,6671,6743,6661,6737,222312
2012/12/6,6709,6718,6625,6640,242694
2012/12/7,6704,6722,6671,6689,166778
2012/12/10,6716,6759,6714,6744,135758
2012/12/11,6712,6714,6671,6711,124312
2012/12/12,6684,6724,6677,6709,127032
2012/12/13,6720,6720,6584,6601,182722
2012/12/14,6785,6870,6776,6832,211004
2012/12/17,6780,6841,6732,6780,268600
2012/12/18,6805,6881,6804,6876,295492
2012/12/19,6744,6750,6692,6709,246968
2012/12/20,6609,6629,6563,6604,233014
2012/12/21,6388,6393,6308,6334,345726
2012/12/24,6350,6418,6335,6402,262286
2012/12/25,6350,6380,6302,6317,244092
2012/12/26,6335,6355,6313,6328,210832
2012/12/27,6331,6396,6318,6359,277830
2012/12/28,6393,6443,6392,6417,229654
2012/12/31,6438,6458,6381,6427,208232
2013/1/4,6306,6307,6193,6226,258306
2013/1/7,6330,6433,6321,6392,288146
2013/1/8,6418,6420,6358,6371,195804
2013/1/9,6416,6438,6402,6429,174856
2013/1/10,6398,6427,6378,6425,142480
2013/1/11,6490,6515,6458,6469,208212
2013/1/14,6419,6492,6409,6479,173020
2013/1/15,6555,6592,6506,6545,264790
2013/1/16,6630,6632,6585,6599,178166
2013/1/17,6612,6612,6555,6580,150812
2013/1/18,6632,6665,6619,6663,183112
2013/1/21,6681,6698,6648,6651,151058
2013/1/22,6675,6707,6665,6694,145342
2013/1/23,6710,6715,6675,6686,93064
2013/1/24,6623,6655,6588,6602,159904
2013/1/25,6538,6582,6534,6573,122532
2013/1/28,6503,6515,6483,6503,106206
2013/1/29,6480,6518,6466,6516,134520
2013/1/30,6530,6550,6530,6538,105238
2013/1/31,6632,6669,6625,6666,119448
2013/2/1,6560,6562,6530,6556,136754
2013/2/4,6598,6633,6581,6607,142104
2013/2/5,6594,6626,6583,6618,119484
2013/2/6,6619,6622,6585,6597,88676
2013/2/7,6611,6633,6596,6602,106976
2013/2/8,6530,6570,6500,6552,98408
2013/2/18,6289,6294,6242,6270,136064
2013/2/19,6267,6288,6260,6275,93268
2013/2/20,6203,6222,6180,6207,167676
2013/2/21,6088,6088,5952,5992,260814
2013/2/22,6026,6056,6018,6046,148990
2013/2/25,6019,6074,6000,6044,160606
2013/2/26,6075,6108,6036,6045,160482
2013/2/27,6140,6142,6096,6112,140766
2013/2/28,6086,6096,6075,6080,104102
2013/3/1,5999,6016,5964,5992,134078
2013/3/4,6045,6050,6003,6028,120306
2013/3/5,6024,6094,6015,6089,147038
2013/3/6,6045,6093,6045,6062,158216
2013/3/7,6098,6100,6058,6074,134436
