tradeDate,open,high,low,close,volume
1994/10/5,16400,16450,16320,16350,260
1994/10/7,16200,16200,15930,15930,287
1994/10/10,15950,16150,15850,16100,1066
1994/10/11,16050,16110,16010,16110,218
1994/10/12,16200,16200,16100,16100,162
1994/10/13,16300,16300,16100,16130,260
1994/10/14,16200,16200,16150,16195,268
1994/10/17,16400,16500,16400,16500,539
1994/10/18,16700,16820,16700,16720,825
1994/10/19,17000,17000,16700,16800,326
1994/10/20,16850,16900,16820,16900,351
1994/10/21,17000,17220,17000,17220,409
1994/10/24,17100,17300,17000,17250,589
1994/10/25,17300,17480,17300,17420,576
1994/10/26,17600,17760,17600,17760,311
1994/10/27,18110,18110,18110,18110,14
1994/10/28,18470,18470,18150,18470,673
1994/10/31,18400,18830,18350,18790,500
1994/11/1,18900,19000,18880,18910,500
1994/11/2,19270,19270,19270,19270,553
1994/11/3,18890,18890,18890,18890,397
1994/11/4,18520,18520,18520,18520,4
1994/11/7,18150,18150,18150,18150,17
1994/11/8,17790,17790,17790,17790,28
1994/11/9,17445,18140,17440,18140,66
1994/11/10,17780,18000,17780,17780,706
1994/11/11,16800,17000,16700,16860,380
1994/11/14,17650,17780,17630,17700,350
1994/11/15,18050,18050,17980,18050,327
1994/11/16,18410,18410,18300,18410,435
1994/11/17,18770,18770,18770,18770,6
1994/11/18,18800,19100,18510,18820,779
1994/11/21,18900,19000,18750,18840,362
1994/11/22,18920,19190,18920,19190,469
1994/11/23,18810,18810,18810,18810,4650
1994/11/24,18750,18800,18440,18540,418
1994/11/25,18650,18710,18600,18710,233
1994/11/28,18350,18500,18330,18500,230
1994/11/29,18140,18140,18140,18140,50
1994/11/30,18500,18500,18500,18500,21
1994/12/1,18700,18700,18300,18450,269
1994/12/2,18250,18360,18120,18350,404
1994/12/5,18260,18300,18200,18300,128
1994/12/6,18200,18300,18100,18280,276
1994/12/7,18490,18500,18355,18470,279
1994/12/8,18450,18450,18360,18400,60
1994/12/9,18400,18420,18200,18350,296
1994/12/12,18250,18350,18250,18350,83
1994/12/13,18300,18345,18195,18210,164
1994/12/14,18100,18105,17870,17870,442
1994/12/15,17900,18100,17880,18000,249
1994/12/16,18300,18350,18280,18280,161
1994/12/19,18200,18230,18080,18100,66
1994/12/20,17950,17950,17800,17900,176
1994/12/21,17700,17830,17680,17800,243
1994/12/22,17850,17960,17820,17950,130
1994/12/23,17900,17940,17900,17930,61
1994/12/26,17850,17880,17800,17850,199
1994/12/27,17900,18050,17900,18000,71
1994/12/28,18100,18240,18100,18200,106
1994/12/29,18500,18500,18450,18450,328
1994/12/30,18390,18400,18320,18380,78
1995/1/3,18250,18300,18250,18280,44
1995/1/4,18350,18350,18250,18250,79
1995/1/5,18250,18300,18250,18300,19
1995/1/6,18350,18400,18350,18400,58
1995/1/9,18495,18540,18495,18540,86
1995/1/10,18580,18720,18580,18720,238
1995/1/11,18700,18720,18500,18610,102
1995/1/12,18620,18620,18500,18520,142
1995/1/13,18550,18600,18550,18560,57
1995/1/16,18640,18640,18600,18620,13
1995/1/18,18850,18850,18800,18820,76
1995/1/19,18750,18830,18750,18830,50
1995/1/20,18900,18930,18840,18850,116
1995/1/23,18950,18960,18850,18850,54
1995/1/24,18900,18900,18850,18880,23
1995/1/25,18800,18880,18800,18850,54
1995/1/26,18820,18830,18800,18800,16
1995/1/27,18850,18980,18850,18970,38
1995/2/6,18600,18680,18600,18650,39
1995/2/7,18680,18680,18600,18640,47
1995/2/8,18400,18400,18240,18260,256
1995/2/9,17900,18160,17900,18150,250
1995/2/10,18300,18310,18210,18310,215
1995/2/13,18500,18500,18200,18210,73
1995/2/14,18000,18130,18000,18130,185
1995/2/15,18000,18050,18000,18010,72
1995/2/16,18150,18200,18120,18180,45
1995/2/17,18250,18300,18250,18260,19
1995/2/20,18250,18250,18250,18250,2
1995/2/21,18200,18200,18200,18200,1850
1995/2/22,18200,18200,18150,18180,9
1995/2/23,18100,18120,18010,18020,67
1995/2/24,18000,18100,18000,18100,76
1995/2/27,18130,18180,18130,18180,31
1995/2/28,18010,18050,17950,17990,128
1995/3/1,17750,17750,17640,17640,69
1995/3/2,17800,17800,17410,17580,205
1995/3/3,17800,17930,17800,17880,207
