tradeDate,open,high,low,close,volume
2009/4/8,193.98,195.8,193.68,195.53,18932
2009/4/9,194.17,194.75,193.5,193.76,12082
2009/4/10,193.68,194.65,193.5,194.59,7054
2009/4/13,194.99,195.8,194.6,195.78,9956
2009/4/14,196.8,198.4,196.75,197.95,11630
2009/4/15,196.9,196.94,196.29,196.3,4498
2009/4/16,196.28,197.01,195.12,196.87,10318
2009/4/17,193.38,193.38,192.08,192.42,15186
2009/4/20,190.23,192.99,190.23,191.3,13318
2009/4/21,195.58,197,195.2,196.64,23634
2009/4/22,195,195.45,194.62,195.31,13610
2009/4/23,197.27,197.5,196.08,196.7,14346
2009/4/24,199.31,201.27,199.1,201.15,21460
2009/4/27,201.91,201.96,201,201.43,17540
2009/4/28,197.88,198.36,197.2,197.42,17454
2009/4/29,196,197.81,195.87,197.2,14780
2009/4/30,196.83,198.2,196.79,198.18,13456
2009/5/4,196,197.6,195.41,197.31,21404
2009/5/5,199.29,200.14,198.91,199.22,21654
2009/5/6,198.06,199.28,197.88,198.99,16660
2009/5/7,200.81,201.48,200.51,201.33,25708
2009/5/8,201.33,202.1,201.08,201.75,20618
2009/5/11,201.7,202.18,201.03,201.83,21098
2009/5/12,201.29,201.29,200.48,200.73,16980
2009/5/13,203.74,204.09,203.62,203.96,21262
2009/5/14,203.22,203.65,202.72,202.72,14108
2009/5/15,203.4,203.58,203.06,203.23,9952
2009/5/18,203.84,204.66,203.84,204.53,15046
2009/5/19,202,202.52,202,202.44,18764
2009/5/20,203.32,203.78,203.11,203.73,9508
2009/5/21,206,207.11,205.91,206.85,17934
2009/5/22,209.1,209.2,208.07,208.39,19752
2009/5/25,209.3,209.5,208.5,208.8,15162
2009/5/26,209.03,209.08,208.01,208.02,11978
2009/5/27,207.88,208.2,207.2,207.98,12912
2009/6/1,214.15,215.37,213.8,215.02,21484
2009/6/2,213.5,214.35,212.02,212.15,22006
2009/6/3,215.15,216.21,214.68,216.18,27090
2009/6/4,211.9,212.21,211.35,211.96,22964
2009/6/5,214,214.4,213.73,214.32,18306
2009/6/8,209.25,210.39,209.15,209.42,22658
2009/6/9,209.26,209.35,208.08,209.12,20136
2009/6/10,209.92,210.59,209.68,209.84,19594
2009/6/11,209.01,210.05,208.81,209.48,15150
2009/6/12,210,210.15,208.56,208.92,15106
2009/6/15,205.1,206,204.61,204.87,21978
2009/6/16,204.6,205.37,204.6,205.34,24762
2009/6/17,204.77,206.38,204.5,206.3,17560
2009/6/18,206.52,206.75,205.8,206.43,13106
2009/6/19,205.73,205.75,204.9,205.04,12756
2009/6/22,205,205.49,204.75,205,13614
2009/6/23,202.01,202.5,200.9,201.6,28548
2009/6/24,202.9,203.9,202.63,203.9,16324
2009/6/25,204.53,205.7,204.41,205.48,15088
2009/6/26,206.61,207.19,206.36,207.11,14748
2009/6/29,206.28,206.28,205.25,205.92,13026
2009/6/30,206.32,207.7,206.32,207.37,15454
2009/7/1,204.15,204.48,203.77,204.45,17094
2009/7/2,206.34,206.7,205.86,206.06,13820
2009/7/3,204.9,205.25,204.65,205.14,11130
2009/7/6,204.03,204.58,203.26,203.41,13208
2009/7/7,203.45,203.65,202.97,203.16,13572
2009/7/8,202.74,203.22,201.87,202.85,11952
2009/7/9,200.01,201.15,200.01,201.06,14952
2009/7/10,200.9,201.42,200.5,200.55,10914
2009/7/13,201.13,201.45,199.88,200.1,11398
2009/7/14,201.82,202.67,201.62,202.35,12674
2009/7/15,203.5,204.24,203.18,204.09,12684
2009/7/16,205.93,206.1,205.2,205.32,15540
2009/7/17,205.59,205.85,205.17,205.34,10586
2009/7/20,206.1,207.65,206.1,207.54,18286
2009/7/21,208.04,208.38,207.62,207.77,18542
2009/7/22,207.43,208.4,207.43,207.94,10702
2009/7/23,209,209.35,208.68,209.17,10290
2009/7/24,207.97,208.1,207.72,208.05,10108
2009/7/27,208.26,210.09,208.19,210.08,16098
2009/7/28,209,209.71,208.6,209.58,11716
2009/7/29,206.2,206.6,204.48,204.9,24984
2009/7/30,204.1,204.66,204,204.5,9888
2009/7/31,205.48,206.6,205.47,205.93,17120
2009/8/3,209.71,209.85,209.18,209.41,19694
2009/8/4,210.02,210.2,208.96,209.67,16070
2009/8/5,212,212.2,211.16,211.38,16950
2009/8/6,211.52,211.68,210.94,211.57,10142
2009/8/7,210.88,210.98,210.55,210.55,9720
2009/8/10,209.11,210.17,209.11,209.78,8766
2009/8/11,208.01,208.41,207.2,208.35,13830
2009/8/12,208.35,208.6,207.1,207.15,13454
2009/8/13,208.51,209.86,208.51,209.58,15998
2009/8/14,210.3,210.43,209.81,209.9,13296
2009/8/17,207.35,207.41,206.51,207.18,21862
2009/8/18,206.2,206.78,206.05,206.5,15478
2009/8/19,207,207.05,205.21,205.54,15192
2009/8/20,207,208.05,206.67,207.51,11856
2009/8/21,206.5,206.95,206.15,206.52,6834
2009/8/24,209.88,209.89,209.31,209.77,17952
2009/8/25,207.33,207.9,207.33,207.65,10426
2009/8/26,207.61,208.46,207.54,208.26,7314
2009/8/27,207.5,208.15,207.4,208,8164
2009/8/28,209,209.1,208.56,208.8,9286
2009/8/31,211,211,209.29,209.29,15852
2009/9/1,210.29,210.37,208.9,209.72,11192
2009/9/2,209.32,210.18,209.15,210,13704
2009/9/3,214.3,215.58,214.05,215.57,37810
2009/9/4,217.66,218.18,217.23,217.39,26326
2009/9/7,217.8,219.09,217.65,218.9,30036
2009/9/8,219.47,223.08,218.8,222.8,39874
2009/9/9,221.64,222.57,220.3,220.65,45092
2009/9/10,219.76,220.18,218.4,219.47,33842
2009/9/11,219,222.2,219,220.27,46754
2009/9/14,220.02,221.75,219.45,219.57,50382
2009/9/15,220.27,220.88,219.25,219.27,32292
2009/9/16,222.5,225.75,222,225.24,74634
2009/9/17,224.99,227.3,224.39,225.96,71664
2009/9/18,224.37,224.42,222.83,223.1,40774
2009/9/21,221.01,222.45,220.12,221.1,44680
2009/9/22,221.96,223.35,221.71,223.3,51320
2009/9/23,223.93,224.49,223.08,223.13,51478
2009/9/24,223.06,223.61,222.06,223.51,35748
2009/9/25,219,219.26,218.45,218.9,40506
2009/9/28,218.5,218.73,216.4,216.83,39468
2009/9/29,217.03,217.81,216.81,217.77,13300
2009/9/30,217.78,218.78,217.6,218.7,15000
2009/10/9,231.88,231.88,228,228.95,19046
2009/10/12,229.63,230.37,229.3,229.75,13658
2009/10/13,231.07,231.89,230.8,231.59,18944
2009/10/14,233,234.74,232.64,233.85,34562
2009/10/15,233.2,233.68,231.8,231.85,27606
2009/10/16,231.2,231.68,229.56,230.38,25960
2009/10/19,230.5,231.78,230.17,231.7,24824
2009/10/20,233.73,234.86,233.42,234.59,33534
2009/10/21,231.7,232.32,231.08,232.22,20752
2009/10/22,233,233.36,231.78,231.85,22524
2009/10/23,233,234.2,232.92,233.2,28920
2009/10/26,232.01,232.54,231.5,231.98,23838
2009/10/27,228.88,229.52,228.81,229.37,19242
2009/10/28,228.8,229.77,228.71,229,21814
2009/10/29,227,227.75,226.98,227.5,18520
2009/10/30,230,230.95,230,230.68,17424
2009/11/2,230.05,230.73,229.7,230.71,15340
2009/11/3,234,234.27,233.5,233.86,23180
2009/11/4,237.59,238.08,237.35,238.06,30152
2009/11/5,238.74,238.88,238.1,238.12,31746
2009/11/6,238.6,239.36,238.58,239.25,18918
2009/11/9,240.5,242.26,240.5,242.17,30742
2009/11/10,241.6,241.7,240.34,240.84,33316
2009/11/11,242.25,242.83,242.1,242.62,25968
2009/11/12,245,245.7,245,245.56,28716
2009/11/13,241.87,242.97,241.62,242.91,28042
2009/11/16,246.18,247.51,246.01,247.39,27022
2009/11/17,249.49,249.82,248.04,248.48,29234
2009/11/18,249.6,249.9,249.12,249.49,25944
2009/11/19,249.8,250.6,249.7,250.26,33114
2009/11/20,250.58,251.46,249.57,250.92,35088
2009/11/23,253.99,255.58,253.96,255.42,37460
2009/11/24,254,256.39,253.96,255.05,45582
2009/11/25,255.99,259.47,255.86,259.33,71268
2009/11/26,261.11,263.86,261.1,261.92,83696
2009/11/27,261,262.63,256,257.02,102384
2009/11/30,258.5,260.25,256.1,258.23,90894
2009/12/1,259.87,260.1,258.6,259.33,40718
2009/12/2,264.6,268.04,264.3,267.5,87220
2009/12/3,270.17,270.49,266.66,267.55,95160
2009/12/4,264.84,266,263.9,265.8,82192
2009/12/7,254,255.87,253.2,254.81,102638
2009/12/8,257.4,257.4,255.43,255.9,66656
2009/12/9,249.05,250.54,248.72,248.85,68012
2009/12/10,249.61,250.4,248.11,249.27,58438
2009/12/11,250.02,251.29,249.43,250.7,53848
2009/12/14,247,249.88,246.8,249.7,68328
2009/12/15,248.95,251.55,248.1,248.31,70656
2009/12/16,248.94,252.44,248.6,252.38,88082
2009/12/17,254,254.26,249.62,249.73,92360
2009/12/18,245.6,246.1,244.32,245.4,76048
2009/12/21,247.01,247.86,246.11,246.8,58328
2009/12/22,242.82,243.37,242.34,242.43,46622
2009/12/23,241.1,242.16,240.52,241.3,56468
2009/12/24,242.6,245.96,242,245.61,73994
2009/12/25,245.5,246.48,244.51,246.35,39492
2009/12/28,246,249.09,245.6,247.98,54726
2009/12/29,246.34,246.7,244.78,246.4,52070
2009/12/30,243,243.97,242.77,243.39,44012
2009/12/31,243.68,247.58,243.6,247.51,52368
2010/1/4,245.38,247.43,244.58,245.96,57752
2010/1/5,250,253.28,249.71,253.23,74798
2010/1/6,251.01,253.14,250.59,251.1,73904
2010/1/7,255.1,255.5,251.2,252.36,86698
2010/1/8,251.22,251.22,249,249.56,53716
2010/1/11,257.5,258.44,256.66,256.85,51302
2010/1/12,256.85,257.5,255.38,257.15,38234
2010/1/13,251,251,249.3,250.72,49252
2010/1/14,254.28,254.38,252.41,252.97,27014
2010/1/15,253.22,253.55,251.81,252.21,25270
2010/1/18,250.5,252.05,249.91,251.81,25412
2010/1/19,252.4,253,251.89,252.39,19448
2010/1/20,253.49,253.99,251.2,251.38,32490
2010/1/21,247.5,248.31,246.51,248.3,38986
2010/1/22,243.05,243.99,242.66,243.32,35292
2010/1/25,243.32,245.99,243,245.36,34950
2010/1/26,245.77,246.28,242.72,243.1,37918
2010/1/27,244.57,245.15,243.54,243.81,28192
2010/1/28,241.6,241.98,239.6,241.44,36302
