tradeDate,open,high,low,close,volume
2013/10/10,4460,4522,4452,4492,155926
2013/10/11,4510,4524,4462,4462,168880
2013/10/14,4476,4490,4434,4444,148998
2013/10/15,4448,4494,4438,4442,175872
2013/10/16,4428,4484,4428,4432,206374
2013/10/17,4448,4460,4440,4444,54632
2013/10/18,4412,4430,4402,4408,85264
2013/10/21,4410,4466,4406,4452,154962
2013/10/22,4444,4454,4428,4440,57890
2013/10/23,4432,4444,4408,4436,85280
2013/10/24,4434,4482,4426,4458,161110
2013/10/25,4460,4464,4406,4406,115570
2013/10/28,4410,4412,4250,4268,355282
2013/10/29,4266,4288,4248,4270,231734
2013/10/30,4270,4328,4228,4316,391474
2013/10/31,4308,4324,4288,4292,128838
2013/11/1,4288,4340,4256,4310,191472
2013/11/4,4280,4336,4276,4314,93718
2013/11/5,4310,4332,4264,4308,125920
2013/11/6,4300,4316,4290,4308,71154
2013/11/7,4312,4324,4268,4274,113300
2013/11/8,4272,4284,4252,4260,103258
2013/11/11,4262,4286,4254,4278,61468
2013/11/12,4272,4308,4268,4304,88114
2013/11/13,4280,4290,4262,4286,65264
2013/11/14,4298,4302,4264,4266,51534
2013/11/15,4266,4284,4246,4270,105770
2013/11/18,4278,4314,4272,4292,49598
2013/11/19,4280,4306,4264,4296,72202
2013/11/20,4296,4326,4296,4310,75654
2013/11/21,4306,4312,4288,4298,33340
2013/11/22,4312,4350,4308,4338,75342
2013/11/25,4336,4368,4316,4356,84024
2013/11/26,4360,4444,4350,4370,221656
2013/11/27,4366,4384,4332,4336,76758
2013/11/28,4330,4358,4318,4346,47474
2013/11/29,4352,4366,4332,4352,41974
2013/12/2,4362,4372,4340,4354,46012
2013/12/3,4360,4410,4352,4382,81870
2013/12/4,4408,4412,4378,4388,93100
2013/12/5,4398,4406,4372,4376,57462
2013/12/6,4382,4430,4360,4424,135882
2013/12/9,4426,4442,4376,4396,119214
2013/12/10,4398,4408,4380,4388,50566
2013/12/11,4390,4404,4380,4390,33290
2013/12/12,4398,4420,4372,4388,79410
2013/12/13,4388,4388,4302,4370,86970
2013/12/16,4378,4382,4334,4360,34804
2013/12/17,4360,4364,4328,4330,35108
2013/12/18,4330,4340,4314,4334,22778
2013/12/19,4334,4350,4326,4326,14012
2013/12/20,4326,4350,4314,4316,30948
2013/12/23,4314,4330,4306,4330,22338
2013/12/24,4328,4334,4316,4326,15596
2013/12/25,4326,4356,4324,4338,16528
2013/12/26,4342,4344,4268,4282,66716
2013/12/27,4276,4328,4262,4316,57464
2013/12/30,4320,4340,4312,4334,22012
2013/12/31,4320,4324,4292,4304,23528
2014/1/2,4302,4314,4282,4290,22642
2014/1/3,4282,4292,4254,4278,22232
2014/1/6,4270,4306,4262,4284,15122
2014/1/7,4272,4288,4248,4248,23584
2014/1/8,4246,4276,4206,4272,36410
2014/1/9,4266,4312,4264,4282,22262
2014/1/10,4280,4306,4256,4282,9368
2014/1/13,4280,4318,4276,4308,11788
2014/1/14,4310,4346,4302,4342,17872
2014/1/15,4320,4378,4318,4370,21692
2014/1/16,4380,4498,4354,4364,14170
2014/1/17,4374,4384,4346,4354,12816
2014/1/20,4358,4376,4330,4354,13012
2014/1/21,4360,4366,4336,4348,7672
2014/1/22,4370,4374,4344,4350,5568
2014/1/23,4360,4360,4350,4356,2362
2014/1/24,4356,4374,4352,4360,7500
2014/1/27,4350,4386,4350,4372,7680
2014/1/28,4372,4390,4366,4372,6692
2014/1/29,4368,4374,4328,4372,6764
2014/1/30,4370,4438,4352,4390,6080
2014/2/7,4392,4428,4392,4428,8012
2014/2/10,4428,4444,4386,4426,7392
2014/2/11,4402,4426,4402,4424,3824
2014/2/12,4420,4420,4290,4292,6856
2014/2/13,4312,4346,4206,4246,196
2014/2/14,4436,4440,4394,4394,7306
2014/2/17,4394,4420,4364,4404,12282
2014/2/18,4402,4412,4382,4400,7886
2014/2/19,4408,4420,4380,4388,6848
2014/2/20,4384,4392,4328,4370,18446
2014/2/21,4368,4372,4336,4366,9540
2014/2/24,4362,4370,4346,4350,6308
2014/2/25,4356,4368,4346,4350,6042
2014/2/26,4354,4356,4230,4272,31196
2014/2/27,4268,4296,4254,4276,12582
2014/2/28,4274,4280,4258,4274,7212
2014/3/3,4286,4288,4264,4268,1836
2014/3/4,4264,4276,4246,4250,11122
2014/3/5,4256,4294,4254,4270,6428
2014/3/6,4266,4268,4228,4262,11586
2014/3/7,4268,4278,4238,4244,13108
2014/3/10,4232,4238,4154,4192,32022
2014/3/11,4188,4238,4182,4220,15872
2014/3/12,4208,4210,4160,4190,12222
2014/3/13,4188,4198,4178,4190,11154
2014/3/14,4184,4192,4160,4188,9806
2014/3/17,4190,4206,4176,4188,9640
2014/3/18,4186,4198,4182,4194,7580
2014/3/19,4196,4230,4194,4214,19336
2014/3/20,4226,4236,4216,4218,11094
2014/3/21,4216,4226,4196,4220,11518
2014/3/24,4218,4236,4218,4228,9510
2014/3/25,4228,4254,4220,4238,13670
2014/3/26,4236,4248,4212,4218,12960
2014/3/27,4220,4222,4206,4214,8936
2014/3/28,4212,4218,4046,4170,31536
2014/3/31,4290,4290,4168,4170,14006
2014/4/1,4166,4184,4160,4178,4980
2014/4/2,4174,4180,4138,4142,11914
2014/4/3,4138,4146,4090,4114,15724
2014/4/4,4114,4132,4112,4126,8518
2014/4/8,4128,4182,4124,4148,16012
2014/4/9,4152,4166,4146,4152,6380
2014/4/10,4154,4154,4136,4146,8100
2014/4/11,4142,4160,4138,4158,4966
2014/4/14,4160,4230,4160,4210,20108
2014/4/15,4230,4232,4206,4212,3886
2014/4/16,4210,4226,4184,4192,17076
2014/4/17,4194,4196,4168,4178,9766
2014/4/18,4178,4184,4160,4174,10082
2014/4/21,4182,4198,4130,4156,9382
2014/4/22,4154,4160,4132,4160,10482
2014/4/23,4162,4162,4142,4158,6088
2014/4/24,4156,4190,4152,4186,9354
2014/4/25,4184,4196,4168,4176,5458
2014/4/28,4170,4192,4166,4188,9982
2014/4/29,4188,4190,4172,4180,8300
2014/4/30,4186,4210,4174,4206,11488
2014/5/5,4208,4210,4178,4196,6926
2014/5/6,4190,4194,4174,4180,2166
2014/5/7,4330,4340,4320,4328,976
2014/5/8,4134,4166,4134,4150,2208
2014/5/9,4320,4326,4316,4326,1064
2014/5/12,4150,4168,4150,4158,1280
2014/5/13,4156,4164,4156,4160,884
2014/5/14,4322,4322,4316,4316,560
2014/5/15,4162,4162,4150,4154,1120
2014/5/16,4152,4156,4134,4152,1394
2014/5/19,4300,4310,4286,4300,1794
2014/5/20,4294,4306,4294,4300,1462
2014/5/21,4302,4306,4290,4298,2106
2014/5/22,4296,4312,4292,4298,2174
2014/5/23,4298,4302,4290,4290,696
2014/5/26,4290,4294,4268,4278,1428
2014/5/27,4278,4282,4240,4244,5268
2014/5/28,4242,4242,4200,4228,4330
2014/5/29,4226,4232,4212,4228,4998
2014/5/30,4228,4240,4224,4232,4544
2014/6/3,4234,4236,4212,4214,4212
2014/6/4,4212,4226,4212,4222,2120
2014/6/5,4224,4226,4220,4222,1450
2014/6/6,4224,4226,4222,4222,1518
2014/6/9,4220,4228,4216,4222,3244
2014/6/10,4224,4234,4222,4228,3636
2014/6/11,4226,4230,4210,4230,4056
2014/6/12,4228,4228,4220,4224,1312
2014/6/13,4224,4280,4224,4264,5878
2014/6/16,4262,4266,4250,4258,1884
2014/6/17,4252,4260,4248,4254,1244
2014/6/18,4254,4256,4252,4252,1082
2014/6/19,4250,4252,4236,4238,1932
