tradeDate,open,high,low,close,volume
2014/1/2,3562,3592,3562,3590,1019050
2014/1/3,3587,3588,3528,3540,1260658
2014/1/6,3531,3540,3512,3515,1107724
2014/1/7,3517,3520,3462,3465,1517508
2014/1/8,3453,3481,3449,3469,1222914
2014/1/9,3466,3488,3451,3456,1310698
2014/1/10,3452,3497,3441,3492,1624786
2014/1/13,3484,3494,3449,3462,1229540
2014/1/14,3462,3496,3456,3492,1233518
2014/1/15,3488,3507,3481,3498,1169568
2014/1/16,3501,3509,3472,3481,1286670
2014/1/17,3478,3478,3452,3470,974250
2014/1/20,3465,3478,3446,3451,1432548
2014/1/21,3441,3447,3408,3410,1480214
2014/1/22,3404,3439,3403,3424,1420846
2014/1/23,3426,3465,3420,3463,1452702
2014/1/24,3453,3488,3444,3487,1437284
2014/1/27,3474,3479,3458,3472,876126
2014/1/28,3463,3465,3430,3431,964522
2014/1/29,3430,3452,3420,3443,817008
2014/1/30,3438,3465,3433,3455,517506
2014/2/7,3448,3450,3401,3411,926746
2014/2/10,3404,3428,3380,3421,1560496
2014/2/11,3412,3427,3385,3386,1192182
2014/2/12,3383,3406,3382,3393,1140402
2014/2/13,3399,3415,3383,3395,1091764
2014/2/14,3400,3417,3395,3412,967856
2014/2/17,3415,3459,3414,3455,1488420
2014/2/18,3453,3463,3422,3428,1016036
2014/2/19,3433,3449,3429,3436,925548
2014/2/20,3431,3432,3391,3394,1089914
2014/2/21,3396,3403,3386,3389,798520
2014/2/24,3384,3387,3308,3326,1518470
2014/2/25,3325,3342,3295,3308,948250
2014/2/26,3301,3328,3299,3317,836764
2014/2/27,3320,3348,3310,3340,935740
2014/2/28,3339,3344,3298,3318,1029944
2014/3/3,3320,3331,3296,3324,755248
2014/3/4,3425,3430,3389,3409,1316748
2014/3/5,3415,3438,3393,3423,2003504
2014/3/6,3415,3419,3387,3388,1639254
2014/3/7,3385,3394,3322,3335,2593584
2014/3/10,3290,3290,3221,3221,1547872
2014/3/11,3180,3260,3171,3236,2838730
2014/3/12,3186,3260,3141,3254,3159628
2014/3/13,3259,3285,3245,3284,2265162
2014/3/14,3270,3276,3220,3262,2095746
2014/3/17,3270,3281,3227,3229,2095964
2014/3/18,3228,3275,3225,3240,2215350
2014/3/19,3241,3260,3226,3242,2278624
2014/3/20,3266,3278,3230,3230,2621828
2014/3/21,3231,3252,3211,3220,2690310
2014/3/24,3215,3224,3190,3213,2403414
