tradeDate,open,high,low,close,volume
1993/9/15,19100,19100,19060,19070,121
1993/9/17,18950,18950,18920,18930,172
1993/9/20,18700,18760,18650,18730,396
1993/9/22,18660,18670,18560,18560,460
1993/9/24,18500,18610,18500,18600,304
1993/9/27,18600,18600,18590,18590,138
1993/9/29,18350,18370,18290,18360,312
1993/10/4,17900,17900,17850,17860,416
1993/10/6,17820,17900,17820,17890,202
1993/10/8,17950,17970,17950,17950,202
1993/10/11,17750,17780,17750,17770,148
1993/10/12,17800,17800,17800,17800,116
1993/10/13,17550,17560,17540,17540,478
1993/10/14,17350,17400,17350,17400,478
1993/11/15,18150,18180,18080,18080,2000
1993/11/16,17900,17900,17800,17800,3274
1993/11/17,17650,17650,17600,17610,1214
1993/11/18,17600,17700,17600,17700,3504
1993/11/19,17880,17880,17860,17870,944
1993/11/22,17950,17950,17870,17890,1818
1993/11/23,17880,17880,17800,17800,1638
1993/11/24,17700,17740,17700,17730,346
1993/11/25,17790,17790,17790,17790,1040
1993/11/29,17990,17990,17960,17970,418
1993/11/30,18220,18260,18220,18260,258
1993/12/1,18320,18350,18310,18350,1092
1993/12/2,18450,18480,18430,18440,2202
1993/12/3,18470,18500,18440,18500,666
1993/12/6,18400,18430,18400,18430,666
1993/12/7,18600,18600,18540,18590,2280
1993/12/8,18720,18760,18720,18730,2578
1993/12/9,18700,18700,18560,18590,2578
1993/12/10,18550,18600,18550,18600,2578
1993/12/13,19000,19000,18900,18920,6486
1993/12/14,19150,19160,19100,19160,2650
1993/12/15,19450,19450,19380,19420,918
1993/12/16,19600,19750,19600,19750,636
1993/12/20,20000,20380,20000,20320,1644
1993/12/21,20700,20820,20500,20500,1776
1993/12/22,20200,20200,19980,20050,1276
1993/12/23,20000,20280,20000,20170,1618
1993/12/24,20250,20250,20140,20200,788
1993/12/27,20400,20400,20360,20390,384
1993/12/28,20400,20550,20400,20550,784
1993/12/29,20500,20600,20330,20520,494
1993/12/30,20850,20950,20800,20900,1186
1994/1/3,20130,20330,20110,20320,1730
1994/1/4,20100,20300,19900,20020,1730
1994/1/5,19900,20240,19900,20180,1730
1994/1/6,20350,20350,20250,20270,978
1994/1/7,19950,19990,19920,19940,564
1994/1/10,19690,19880,19680,19860,922
1994/1/11,20200,20300,20200,20290,1300
1994/1/12,20380,20380,20200,20200,632
1994/1/13,20150,20200,20150,20160,632
1994/1/14,20300,20320,20240,20280,632
1994/1/17,20630,20650,20590,20650,284
1994/1/18,20750,20750,20490,20490,1304
1994/1/19,20580,20580,20520,20560,560
1994/1/20,20650,20650,20400,20400,224
1994/1/21,20390,20390,20360,20360,210
1994/1/24,20350,20400,20350,20400,210
1994/1/25,20500,20590,20500,20580,210
1994/1/26,20590,20590,20500,20520,502
1994/1/27,20550,20550,20540,20550,202
1994/1/28,20540,20550,20500,20500,30
1994/1/31,20420,20430,20380,20430,282
1994/2/1,20450,20470,20450,20470,320
1994/2/2,20560,20570,20550,20550,256
1994/2/3,20640,20640,20560,20570,338
1994/2/15,20680,20680,20650,20650,16
1994/2/16,20620,20650,20620,20650,56
1994/2/17,20690,20690,20690,20690,96
1994/2/18,20700,20750,20700,20710,24
1994/2/21,20650,20650,20650,20650,8
1994/2/22,20650,20680,20650,20680,8
1994/2/23,20640,20640,20640,20640,8
1994/2/24,20610,20620,20600,20620,8
1994/2/25,20600,20610,20600,20610,74
1994/2/28,20560,20570,20560,20560,32
1994/3/1,20500,20560,20500,20560,38
1994/3/2,20500,20500,20440,20440,184
1994/3/3,20480,20500,20400,20500,258
1994/3/4,20460,20460,20450,20450,36
1994/3/7,20400,20400,20360,20360,50
1994/3/8,20200,20260,20050,20250,878
1994/3/9,20200,20250,20200,20220,102
1994/3/10,20180,20220,20180,20220,102
1994/3/11,20300,20380,20300,20360,238
1994/3/14,20400,20400,20250,20280,424
1994/3/15,20380,20450,20380,20450,114
1994/3/16,20200,20300,20200,20200,96
1994/3/17,20000,20000,19910,19920,164
1994/3/18,19950,20070,19930,20040,640
1994/3/21,20150,20150,20090,20090,570
1994/3/22,19900,19900,19770,19800,252
1994/3/23,19770,19780,19650,19650,640
1994/3/24,19420,19600,19400,19500,532
1994/3/25,19410,19500,19410,19460,912
1994/3/28,19620,19720,19610,19720,1120
1994/3/29,19740,19760,19560,19650,676
1994/3/30,19600,19750,19600,19700,282
1994/3/31,19400,19600,19400,19600,282
1994/4/1,19700,19700,19700,19700,628
1994/4/4,19750,19830,19750,19830,24
1994/4/5,19850,19850,19810,19830,542
1994/4/6,19820,19820,19780,19780,720
1994/4/7,19750,19840,19740,19840,90
1994/4/8,19820,19820,19810,19820,100
1994/4/11,19750,19800,19750,19800,324
1994/4/12,19840,19910,19840,19880,324
1994/4/13,19900,19940,19900,19930,744
1994/4/14,20020,20170,20000,20160,318
1994/4/15,20500,20500,20130,20320,630
1994/4/18,20300,20350,20210,20250,508
1994/4/19,20250,20310,20240,20310,508
1994/4/20,20400,20450,20390,20450,372
1994/4/21,20400,20420,20390,20410,556
1994/4/22,20380,20390,20320,20370,718
1994/4/25,20310,20310,20050,20150,178
1994/4/26,20250,20320,20220,20250,848
1994/4/27,20250,20250,20250,20250,528
1994/4/28,20260,20280,20260,20280,132
1994/4/29,20300,20380,20300,20370,150
1994/5/3,20500,20540,20450,20510,764
1994/5/4,20600,20700,20600,20640,776
1994/5/5,20630,20780,20610,20760,776
1994/5/6,20850,20860,20700,20700,796
1994/5/9,20900,21200,20750,21100,726
1994/5/10,21400,21420,21300,21320,2010
1994/5/11,20950,21220,20950,21070,1436
1994/5/13,21050,21080,20920,21020,2138
1994/5/16,21500,21500,21300,21320,538
1994/5/17,21210,21330,21200,21300,540
1994/5/18,21350,21380,21290,21290,308
1994/5/19,21300,21300,21240,21250,362
1994/5/20,21300,21390,21290,21370,172
1994/5/23,21400,21550,21400,21520,288
1994/5/24,21800,21800,21680,21800,1022
1994/5/25,21800,21960,21800,21900,920
1994/5/26,21820,21970,21810,21970,1638
1994/5/27,21900,21900,21700,21700,968
1994/5/30,21700,21800,21580,21800,1234
1994/5/31,21800,21800,21740,21750,1120
1994/6/1,21750,21750,21600,21600,520
1994/6/2,21425,21550,21220,21260,818
1994/6/3,21300,21380,21290,21330,2658
1994/6/6,21480,21480,21380,21400,1200
1994/6/7,21250,21290,21210,21240,1406
1994/6/8,21500,21500,21300,21360,1258
1994/6/9,21600,21600,21410,21580,1388
1994/6/10,21600,21740,21580,21580,2382
1994/6/13,21500,21580,21460,21550,1548
1994/6/14,21650,21710,21620,21650,506
1994/6/15,21580,21580,21480,21520,236
1994/6/16,21480,21500,21470,21490,254
1994/6/17,21580,21600,21560,21590,254
1994/6/20,21800,21890,21700,21890,338
1994/6/21,21900,22280,21900,22260,1292
1994/6/22,22300,22300,21780,21910,1872
1994/6/23,22050,22080,21920,21930,1936
1994/6/24,21950,21950,21900,21930,1282
1994/6/27,21900,21960,21850,21950,770
1994/6/28,21850,21920,21850,21880,250
1994/6/29,21620,21730,21620,21690,532
1994/6/30,21750,21800,21750,21780,1084
1994/7/1,21800,21800,21710,21710,236
1994/7/4,21800,21830,21800,21820,360
1994/7/5,21820,21840,21820,21830,266
1994/7/6,21840,21870,21840,21860,72
1994/7/7,21820,21820,21800,21810,132
1994/7/8,21790,21800,21770,21790,124
1994/7/11,21830,21830,21800,21800,104
1994/7/12,21830,21840,21830,21840,72
1994/7/13,21880,21880,21850,21860,52
1994/7/14,21830,21890,21830,21890,164
1994/7/15,21900,22150,21900,22150,18
1994/7/18,22160,22350,22160,22300,824
1994/7/19,22260,22290,22200,22270,838
1994/10/5,24400,24600,24400,24580,115
1994/10/6,24710,24715,24550,24550,190
1994/10/7,24650,24650,24380,24380,267
1994/10/10,24150,24200,24000,24200,319
1994/10/11,24300,24300,24260,24270,248
1994/10/12,24270,24380,24250,24360,103
1994/10/13,24450,24700,24450,24700,432
1994/10/14,24600,24700,24550,24600,441
1994/10/17,24600,24640,24600,24630,60
1994/10/18,24650,24680,24600,24650,188
1994/10/19,25000,25360,24750,25360,868
1994/10/20,25900,26000,25780,25780,1634
1994/10/21,25700,25795,25660,25745,400
1994/10/24,25700,25900,25650,25900,275
1994/10/25,26200,26300,26200,26255,35
1994/10/26,27000,27300,26850,27300,1280
1994/10/28,28390,28390,27800,27850,1739
1994/10/31,27700,28150,27700,28100,572
1994/11/1,28100,28600,28100,28500,868
1994/11/2,29060,29060,29000,29060,799
1994/11/3,29480,29480,28480,28480,447
1994/11/4,28190,28300,28190,28190,625
1994/11/7,27630,27710,27630,27630,622
1994/11/8,27080,27080,27080,27080,112
1994/11/9,26540,27600,26540,27550,1488
1994/11/10,27050,27225,27000,27000,776
1994/11/11,26800,27000,26700,26870,36250
1994/11/14,27250,27280,27100,27250,237
1994/11/15,27800,27800,27800,27800,631
1994/11/16,28350,28350,28100,28350,1987
1994/11/17,28910,28910,28910,28910,72
1994/11/18,29440,29440,28700,28850,1686
1994/11/21,28580,28820,28500,28820,601
1994/11/22,28790,29370,28725,29370,1236
1994/11/23,28770,29000,28770,28770,28850
1994/11/24,28630,28760,28450,28475,1570
1994/11/25,29030,29030,28650,28750,1280
1994/11/28,28600,28650,28500,28600,321
1994/11/29,28150,28200,28030,28030,726
1994/11/30,28590,28590,28590,28590,114
1994/12/1,28800,28920,28650,28660,1011
1994/12/2,28790,28800,28110,28180,1017
1994/12/5,28300,28350,27810,28025,564
1994/12/6,27700,27800,27550,27660,1001
1994/12/7,27650,28100,27645,28070,846
1994/12/8,27800,28000,27750,27910,632
1994/12/9,28200,28250,27860,27880,889
1994/12/12,27700,27800,27670,27800,522
1994/12/13,27750,27800,27520,27550,767
1994/12/14,27170,27350,26990,26990,1880
1994/12/15,27230,27250,26860,27080,1079
1994/12/16,27610,27610,27530,27610,969
1994/12/19,27610,27670,27500,27660,803
1994/12/20,27200,27200,27200,27200,8
1994/12/21,26850,26900,26610,26765,1422
1994/12/22,27000,27100,26760,26875,960
1994/12/23,26800,26850,26780,26810,511
1994/12/26,26700,26730,26320,26400,913
1994/12/27,26320,26500,26000,26320,1146
1994/12/28,26400,26830,26400,26830,774
1994/12/29,27350,27360,27250,27360,868
1994/12/30,27500,27625,27300,27560,1046
1995/1/3,27590,27600,27100,27310,489
1995/1/5,26690,27170,26650,27155,666
1995/1/6,27320,27320,26880,26900,547
1995/1/9,27050,27100,26850,27050,409
1995/1/10,27250,27325,27150,27270,607
1995/1/11,27450,27450,27005,27220,447
1995/1/12,26930,27180,26900,27130,490
1995/1/13,27270,27300,27200,27230,539
1995/1/16,27480,27490,27380,27470,137
1995/1/17,27400,27560,27400,27550,129
1995/1/18,27800,28100,27800,28100,525
1995/1/19,28000,28110,28000,28090,328
1995/1/20,28450,28465,28220,28280,454
1995/1/23,28250,28420,28250,28380,227
1995/1/24,28300,28400,28300,28320,202
1995/1/25,28400,28400,28340,28345,76
1995/1/26,28200,28300,28115,28280,245
1995/1/27,28300,28450,28300,28450,122
1995/2/6,28000,28000,27890,27890,128
1995/2/7,28000,28000,27685,27800,262
1995/2/8,27560,27660,27240,27250,469
1995/2/9,27250,27255,26750,27000,545
1995/2/10,27180,27250,27100,27200,480
1995/2/13,27400,27590,27300,27320,630
1995/2/14,27200,27200,26920,26960,560
1995/2/15,27100,27100,26880,26940,141
