tradeDate,open,high,low,close,volume
2014/3/24,3314,3330,3266,3330,86810
2014/3/25,3326,3400,3320,3378,119854
2014/3/26,3370,3382,3354,3376,37876
2014/3/27,3368,3386,3350,3362,40230
2014/3/28,3376,3386,3360,3382,34290
2014/3/31,3396,3422,3382,3410,60970
2014/4/1,3412,3418,3396,3414,17896
2014/4/2,3410,3426,3388,3390,28570
2014/4/3,3384,3414,3382,3410,20706
2014/4/4,3412,3440,3402,3440,21360
2014/4/8,3450,3488,3442,3480,40286
2014/4/9,3488,3488,3444,3452,32902
2014/4/10,3450,3470,3442,3446,19630
2014/4/11,3430,3452,3430,3434,13100
2014/4/14,3432,3464,3432,3438,12642
2014/4/15,3442,3448,3418,3448,20724
2014/4/16,3446,3446,3410,3418,18538
2014/4/17,3428,3428,3410,3412,5590
2014/4/18,3410,3412,3346,3354,51760
2014/4/21,3340,3364,3340,3340,8292
2014/4/22,3340,3366,3324,3354,23958
2014/4/23,3358,3388,3336,3380,19844
2014/4/24,3376,3396,3366,3390,12648
2014/4/25,3398,3400,3372,3378,8566
2014/4/28,3372,3372,3334,3336,17354
2014/4/29,3334,3374,3334,3360,8736
2014/4/30,3370,3370,3338,3344,9948
2014/5/5,3334,3362,3224,3352,11568
2014/5/6,3342,3364,3336,3344,4722
2014/5/7,3338,3358,3330,3332,9532
2014/5/8,3330,3338,3310,3312,13298
2014/5/9,3312,3330,3302,3318,9612
2014/5/12,3332,3336,3298,3336,11512
2014/5/13,3336,3346,3320,3326,6694
2014/5/14,3326,3330,3314,3324,7744
2014/5/15,3324,3328,3298,3300,4666
2014/5/16,3294,3300,3240,3272,11898
2014/5/19,3262,3284,3250,3264,7402
2014/5/20,3260,3276,3254,3262,3226
2014/5/21,3264,3284,3254,3274,5076
2014/5/22,3272,3314,3272,3280,5670
2014/5/23,3286,3294,3276,3282,2478
2014/5/26,3288,3330,3286,3326,6526
2014/5/27,3332,3370,3320,3340,17214
2014/5/28,3300,3342,3300,3312,6688
2014/5/29,3308,3324,3300,3308,5696
2014/5/30,3300,3300,3252,3264,11890
2014/6/3,3256,3290,3246,3268,11494
2014/6/4,3268,3276,3260,3262,7822
2014/6/5,3268,3284,3252,3270,13050
2014/6/6,3276,3282,3260,3282,5212
2014/6/9,3278,3282,3254,3262,11062
2014/6/10,3262,3272,3230,3268,8890
2014/6/11,3270,3278,3254,3260,5292
2014/6/12,3252,3256,3230,3246,12012
2014/6/13,3238,3258,3230,3248,12994
2014/6/16,3250,3250,3216,3226,18710
2014/6/17,3218,3246,3208,3238,7882
2014/6/18,3240,3276,3232,3264,19098
2014/6/19,3266,3280,3260,3264,17156
2014/6/20,3270,3286,3254,3278,19092
2014/6/23,3282,3304,3278,3298,8742
2014/6/24,3300,3300,3278,3282,6520
2014/6/25,3290,3292,3272,3288,6804
2014/6/26,3296,3320,3288,3320,11450
2014/6/27,3322,3328,3302,3304,4814
2014/6/30,3300,3308,3286,3286,4932
2014/7/1,3288,3296,3276,3294,3924
2014/7/2,3294,3312,3278,3308,7372
2014/7/3,3312,3328,3306,3310,6234
2014/7/4,3308,3314,3296,3306,5872
2014/7/7,3312,3312,3284,3294,5172
2014/7/8,3294,3314,3286,3312,6470
2014/7/9,3310,3316,3292,3298,5230
2014/7/10,3302,3340,3296,3328,9708
2014/7/11,3338,3344,3320,3342,7836
2014/7/14,3348,3366,3344,3364,12282
2014/7/15,3362,3388,3356,3360,7740
2014/7/16,3358,3362,3344,3344,5070
2014/7/17,3300,3350,3300,3328,6182
2014/7/18,3328,3328,3270,3276,12988
2014/7/21,3266,3294,3266,3284,4414
2014/7/22,3270,3302,3270,3286,4140
2014/7/23,3284,3290,3276,3278,3616
2014/7/24,3280,3294,3278,3288,2778
2014/7/25,3286,3306,3284,3294,4538
2014/7/28,3288,3310,3282,3300,7096
2014/7/29,3302,3328,3302,3320,7024
2014/7/30,3318,3318,3288,3300,2952
2014/7/31,3304,3310,3276,3290,3886
2014/8/1,3290,3294,3268,3282,7408
2014/8/4,3280,3300,3276,3290,5896
2014/8/5,3280,3384,3280,3310,11272
2014/8/6,3320,3340,3304,3334,9316
2014/8/7,3340,3350,3330,3340,4256
2014/8/8,3330,3342,3308,3320,10304
2014/8/11,3332,3332,3310,3314,3082
2014/8/12,3308,3356,3302,3324,3194
2014/8/13,3326,3342,3308,3310,3342
2014/8/14,3310,3310,3272,3278,5210
2014/8/15,3270,3320,3218,3298,4760
2014/8/18,3302,3306,3268,3278,3134
2014/8/19,3274,3298,3274,3290,1488
2014/8/20,3280,3300,3268,3268,3088
2014/8/21,3270,3280,3254,3274,1882
2014/8/22,3308,3308,3212,3212,3302
2014/8/25,3208,3240,3180,3190,3644
2014/8/26,3196,3214,3164,3176,3102
2014/8/27,3158,3168,3094,3116,4528
2014/8/28,3130,3132,3084,3094,3772
2014/8/29,3096,3146,3090,3142,7746
2014/9/1,3122,3146,3100,3110,8270
2014/9/2,3100,3126,3086,3098,9588
2014/9/3,3086,3092,3052,3072,13326
2014/9/4,3070,3070,3036,3036,8130
2014/9/5,3050,3050,3026,3032,6760
2014/9/9,3030,3030,2952,2956,14078
2014/9/10,2950,3008,2908,2976,15752
2014/9/11,2972,2976,2922,2938,13134
2014/9/12,2942,2972,2926,2968,9276
2014/9/15,2958,3000,2958,2996,10018
2014/9/16,3000,3010,2948,2950,14842
2014/9/17,2980,2986,2944,2962,10622
2014/9/18,2960,2970,2930,2934,12634
2014/9/19,2914,2932,2872,2882,18248
2014/9/22,2882,2882,2790,2792,22268
2014/9/23,2790,2850,2786,2808,15950
2014/9/24,2818,2844,2816,2832,12778
2014/9/25,2834,2834,2786,2790,21428
2014/9/26,2790,2864,2780,2836,15774
2014/9/29,2850,2850,2780,2800,12562
2014/9/30,2802,2828,2802,2816,4564
2014/10/8,2828,2854,2754,2772,9430
2014/10/9,2782,2816,2754,2810,19294
2014/10/10,2810,2860,2790,2840,23898
2014/10/13,2840,2942,2840,2920,28810
2014/10/14,2934,2934,2886,2894,10378
2014/10/15,2890,2910,2880,2902,9352
2014/10/16,2850,2888,2834,2868,15396
2014/10/17,2878,2882,2848,2860,10364
2014/10/20,2882,2906,2870,2896,12424
2014/10/21,2900,2912,2874,2874,6972
2014/10/22,2872,2886,2844,2866,11052
2014/10/23,2862,2862,2832,2834,11568
2014/10/24,2848,2870,2834,2858,9364
2014/10/27,2868,2878,2850,2862,5780
2014/10/28,2862,2866,2842,2844,9444
2014/10/29,2848,2860,2840,2860,10526
2014/10/30,2866,2872,2820,2852,10314
2014/10/31,2852,2870,2842,2856,8140
2014/11/3,2844,2858,2830,2830,7588
2014/11/4,2830,2850,2822,2836,6800
2014/11/5,2830,2842,2826,2828,6182
2014/11/6,2828,2844,2826,2832,3798
2014/11/7,2836,2848,2832,2836,4976
2014/11/10,2850,2886,2850,2874,7890
2014/11/11,2872,2880,2850,2868,4638
2014/11/12,2872,2898,2868,2888,13080
2014/11/13,2880,2880,2850,2870,5088
2014/11/14,2860,2878,2842,2876,5858
2014/11/17,2878,2890,2870,2872,3390
2014/11/18,2872,2872,2856,2862,10480
2014/11/19,2856,2876,2852,2860,4740
2014/11/20,2860,2886,2860,2884,6012
2014/11/21,2880,2920,2880,2884,7600
2014/11/24,2896,2918,2872,2884,5372
2014/11/25,2880,2896,2860,2888,3298
2014/11/26,2886,2894,2876,2886,2750
2014/11/27,2888,2988,2888,2980,9496
2014/11/28,2878,2976,2878,2960,9178
2014/12/1,2942,3012,2910,2986,6254
2014/12/2,3002,3018,2980,2984,5928
2014/12/3,2980,2996,2944,2992,9550
2014/12/4,2988,3016,2962,2976,8548
2014/12/5,2986,3006,2960,3006,2444
2014/12/8,2868,2898,2856,2872,4286
2014/12/9,2862,2884,2854,2884,4976
2014/12/10,2884,2900,2872,2892,3652
2014/12/11,2886,2920,2874,2908,5056
2014/12/12,2908,2950,2902,2948,4016
2014/12/15,2938,2946,2920,2926,3512
2014/12/16,2918,2918,2884,2896,5780
2014/12/17,2888,2900,2870,2882,4874
2014/12/18,2884,2892,2864,2886,2920
2014/12/19,2886,2898,2872,2888,2290
2014/12/22,2888,2888,2848,2854,5116
2014/12/23,2848,2848,2804,2804,6404
2014/12/24,2820,2852,2812,2848,4716
2014/12/25,2838,2840,2824,2824,1748
2014/12/26,2820,2850,2816,2820,2944
2014/12/29,2820,2862,2804,2850,3912
2014/12/30,2850,2956,2846,2956,11186
2014/12/31,2950,2958,2904,2928,6260
2015/1/5,2928,2928,2886,2902,3480
2015/1/6,2882,2992,2882,2936,7502
2015/1/7,2930,2932,2894,2902,4930
2015/1/8,2902,2912,2874,2878,3476
2015/1/9,2882,2882,2832,2834,4748
2015/1/12,2836,2842,2750,2752,10700
2015/1/13,2750,2764,2724,2736,7650
2015/1/14,2732,2742,2628,2670,20266
2015/1/15,2670,2696,2658,2692,11844
2015/1/16,2698,2708,2650,2682,11764
2015/1/19,2676,2684,2650,2666,10318
2015/1/20,2656,2674,2638,2644,10034
2015/1/21,2650,2662,2632,2640,9092
2015/1/22,2628,2656,2612,2632,8936
2015/1/23,2632,2640,2606,2610,9434
2015/1/26,2604,2612,2544,2560,18546
2015/1/27,2560,2576,2546,2550,20578
2015/1/28,2550,2620,2546,2594,38828
2015/1/29,2602,2626,2586,2622,23438
2015/1/30,2620,2624,2596,2600,11080
2015/2/2,2602,2716,2578,2592,22808
2015/2/3,2598,2602,2582,2586,13414
2015/2/4,2590,2606,2572,2574,21074
2015/2/5,2586,2588,2564,2578,18368
2015/2/6,2578,2594,2574,2584,13122
2015/2/9,2588,2588,2566,2574,10306
2015/2/10,2570,2586,2570,2582,5198
2015/2/11,2582,2606,2578,2602,7740
2015/2/12,2606,2610,2580,2596,5844
2015/2/13,2598,2622,2586,2610,11490
2015/2/16,2608,2646,2608,2624,14306
2015/2/17,2628,2628,2602,2612,6546
2015/2/25,2614,2614,2572,2594,6510
2015/2/26,2594,2614,2588,2610,10500
2015/2/27,2614,2620,2582,2584,11906
2015/3/2,2584,2606,2570,2594,16776
2015/3/3,2592,2602,2578,2584,12670
2015/3/4,2582,2594,2578,2590,7622
2015/3/5,2590,2590,2554,2562,26012
2015/3/6,2562,2572,2544,2548,17016
2015/3/9,2548,2562,2516,2526,30006
2015/3/10,2524,2532,2494,2498,16732
2015/3/11,2482,2508,2482,2500,10944
2015/3/16,2502,2530,2496,2528,7804
2015/3/17,2518,2536,2516,2534,6372
2015/3/18,2532,2538,2498,2504,14544
2015/3/19,2502,2524,2498,2510,6528
2015/3/20,2506,2524,2506,2510,6560
2015/3/23,2510,2568,2502,2558,15814
2015/3/24,2576,2580,2546,2554,10188
2015/3/27,2512,2520,2458,2508,10010
2015/3/30,2508,2520,2474,2488,6086
2015/3/31,2500,2517,2492,2494,41130
2015/4/1,2480,2502,2448,2456,8076
2015/4/2,2452,2460,2414,2420,8808
2015/4/3,2412,2430,2392,2398,6570
2015/4/7,2394,2410,2342,2342,6728
2015/4/8,2376,2404,2354,2392,9706
2015/4/9,2382,2388,2358,2362,4618
2015/4/10,2362,2366,2344,2346,5278
2015/4/13,2346,2420,2344,2412,8930
2015/4/14,2412,2424,2390,2406,8230
2015/4/15,2408,2414,2380,2382,7002
2015/4/16,2372,2410,2372,2396,7012
2015/4/17,2398,2414,2390,2396,6458
2015/4/20,2390,2394,2364,2366,10158
2015/4/21,2364,2376,2356,2372,5278
2015/4/22,2376,2430,2370,2422,10954
2015/4/23,2424,2436,2408,2434,15212
2015/4/24,2434,2496,2434,2490,29142
2015/4/27,2500,2516,2476,2510,14874
2015/4/28,2512,2532,2492,2498,19506
2015/4/29,2497,2519,2446,2460,17196
2015/4/30,2460,2492,2454,2487,9826
2015/5/4,2493,2545,2486,2532,17728
2015/5/5,2531,2597,2528,2561,25924
2015/5/6,2561,2567,2530,2535,21672
2015/5/7,2535,2542,2491,2495,18810
2015/5/8,2496,2510,2470,2504,25350
2015/5/11,2498,2522,2497,2515,13742
2015/5/12,2510,2522,2485,2486,10898
2015/5/13,2490,2506,2481,2487,12658
2015/5/14,2487,2492,2452,2471,17216
2015/5/15,2470,2477,2460,2471,10176
2015/5/18,2470,2482,2458,2458,7740
2015/5/19,2452,2455,2434,2443,8968
2015/5/20,2435,2443,2407,2412,8984
2015/5/21,2417,2448,2412,2439,9064
2015/5/22,2440,2475,2427,2454,8390
2015/5/25,2441,2465,2425,2455,7734
2015/5/26,2453,2490,2441,2464,12846
2015/5/27,2466,2475,2454,2470,5382
2015/5/28,2456,2481,2443,2460,8066
2015/5/29,2458,2469,2436,2460,7106
2015/6/1,2463,2497,2457,2482,10504
2015/6/2,2478,2489,2467,2478,8700
2015/6/3,2477,2481,2460,2460,7776
2015/6/4,2451,2463,2447,2459,6344
2015/6/5,2462,2466,2432,2448,7982
2015/6/8,2447,2447,2431,2440,4472
2015/6/9,2436,2460,2436,2449,4950
2015/6/10,2447,2462,2445,2460,4838
2015/6/11,2462,2473,2458,2463,6904
2015/6/12,2461,2465,2392,2401,12314
2015/6/15,2391,2416,2380,2383,6712
2015/6/16,2377,2390,2346,2348,8488
2015/6/17,2346,2353,2315,2319,26048
2015/6/18,2327,2345,2320,2336,10252
2015/6/19,2335,2360,2330,2342,8548
2015/6/23,2350,2350,2310,2329,6732
2015/6/24,2333,2339,2323,2333,7172
2015/6/25,2335,2336,2294,2296,14946
2015/6/26,2280,2312,2280,2288,18380
2015/6/29,2290,2301,2264,2269,11526
2015/6/30,2267,2267,2180,2220,32072
2015/7/1,2215,2223,2202,2204,11004
2015/7/2,2192,2206,2176,2197,16658
2015/7/3,2199,2235,2192,2207,16306
2015/7/6,2204,2207,2104,2109,27222
2015/7/7,2109,2111,2038,2041,36072
2015/7/8,2041,2089,1973,1973,34314
2015/7/9,1860,2139,1860,2063,39112
2015/7/10,2072,2112,2055,2065,17354
2015/7/13,2042,2078,2004,2030,18590
2015/7/14,2040,2055,2015,2032,16060
2015/7/15,2036,2044,2010,2015,11732
2015/7/16,2015,2055,1993,2022,29020
2015/7/17,2023,2034,2015,2030,8468
