tradeDate,open,high,low,close,volume
2015/3/30,99010,100000,96820,98430,66684
2015/3/31,98000,98200,93840,95320,68178
2015/4/1,93940,94130,91270,92930,152544
2015/4/2,92870,96600,92550,96340,190182
2015/4/3,96000,97800,95660,97300,150282
2015/4/7,97500,97980,95950,96420,75688
2015/4/8,94500,95630,93300,93950,183088
2015/4/9,94450,95260,93880,94300,160974
2015/4/10,94500,94970,93180,94540,137722
2015/4/13,94280,95670,93700,95230,180214
2015/4/14,94780,95070,92810,93100,199150
2015/4/15,92700,95000,92640,94730,220106
2015/4/16,94610,95900,94260,95400,195920
2015/4/17,96280,96660,95010,95850,168702
2015/4/20,95980,96550,95200,95410,148104
2015/4/21,95330,96800,94900,95880,140930
2015/4/22,95910,96720,95750,96330,123902
2015/4/23,96120,96500,95600,95860,101066
2015/4/24,95840,97900,95700,97830,118180
2015/4/27,98000,101490,97990,101490,241904
2015/4/28,102490,104530,101420,102650,285722
2015/4/29,102350,104400,100500,101020,317634
2015/4/30,101190,106980,101160,106010,552750
2015/5/4,106010,108900,105450,107580,278844
2015/5/5,107850,109230,106160,107960,518266
2015/5/6,110000,113380,109690,113380,609024
2015/5/7,114580,115300,111050,112500,969052
2015/5/8,113700,114100,110000,112300,878416
2015/5/11,111810,114430,111060,113880,728054
2015/5/12,113300,115060,111270,111600,871696
2015/5/13,112280,113650,110780,111750,752614
2015/5/14,112100,112100,107060,109400,760542
2015/5/15,108980,110960,108540,110210,609290
2015/5/18,109390,109690,108200,108610,544094
2015/5/19,108300,108890,106160,106430,467078
2015/5/20,105500,105990,102340,102340,318956
2015/5/21,100490,102550,100170,101070,480198
2015/5/22,100960,103370,96710,100070,741862
2015/5/25,98900,100580,98110,99480,610232
2015/5/26,99670,101900,99660,100010,550278
2015/5/27,99990,101180,99200,100670,406048
2015/5/28,100420,102040,100400,101130,545222
2015/5/29,101000,101680,97740,99200,462924
2015/6/1,98860,99290,97800,98040,245968
2015/6/2,98350,100600,98120,100480,274378
2015/6/3,100380,101100,99040,99060,409252
2015/6/4,99200,99940,97690,98530,373158
2015/6/5,98650,99480,98060,98390,349670
2015/6/8,98750,100600,98330,100570,493720
2015/6/9,100850,102180,100660,100910,602556
2015/6/10,101360,101770,100570,101330,398440
2015/6/11,101850,102200,101300,101500,323762
2015/6/12,101600,101640,97800,98070,485268
2015/6/15,98400,98880,97400,97580,314750
2015/6/16,97400,98050,95340,95700,386062
2015/6/17,96000,96360,94700,95280,399972
2015/6/18,96300,96810,95830,96300,327414
2015/6/19,96020,96180,94440,94610,314640
2015/6/23,94280,95330,94100,95050,157974
2015/6/24,95510,96700,95350,96390,335618
2015/6/25,96010,96220,94800,94850,333244
2015/6/26,94760,95170,93020,93850,506474
2015/6/29,93650,93680,89510,90360,618386
2015/6/30,88880,89410,87330,87330,479454
2015/7/1,87330,89980,86680,88360,711488
2015/7/2,88000,89880,87570,89450,651868
2015/7/3,89850,90670,88080,89240,530356
2015/7/6,89100,89340,85260,85530,497774
2015/7/7,85750,87360,84050,84220,563222
2015/7/8,82400,82400,81630,81630,25018
2015/7/9,75230,86050,75230,83600,1040716
2015/7/10,84100,85170,82950,84570,552370
2015/7/13,84040,84170,80600,82250,771510
2015/7/14,84510,85800,83680,84500,831348
2015/7/15,84880,87120,84330,86970,859920
2015/7/16,86850,87240,83630,85430,949108
2015/7/17,84680,85760,84620,85600,589592
2015/7/20,84800,85660,84450,85320,574774
2015/7/21,85480,87950,85260,87870,608876
2015/7/22,87670,87880,84530,85220,737564
2015/7/23,85300,85620,83700,84410,701378
2015/7/24,84190,84880,82900,83360,696550
2015/7/27,83290,84950,82620,82650,631090
2015/7/28,81300,83420,81150,82740,594918
2015/7/29,83300,84770,83110,84330,519938
2015/7/30,83590,84420,82500,82620,564582
2015/7/31,82000,83000,81720,81780,480272
2015/8/3,82200,83180,80160,80340,516712
2015/8/4,80350,81220,79800,81100,441778
2015/8/5,81300,81800,80290,81190,319588
2015/8/6,81500,81640,80500,80780,329536
2015/8/7,80700,81130,79930,80700,364892
2015/8/10,80620,82490,80280,82200,337824
2015/8/11,82190,84300,81980,82370,514684
2015/8/12,81240,82840,80050,82690,506474
2015/8/13,82700,83500,81750,82690,349908
2015/8/14,82300,82630,81400,81570,262984
2015/8/17,81950,82430,81530,82100,195836
2015/8/18,82150,82480,80310,80400,172078
2015/8/19,81090,81950,80620,81860,286466
2015/8/20,81600,81850,79800,80650,379502
2015/8/21,81550,81560,80300,80370,311620
2015/8/24,80000,80100,76800,76800,370194
2015/8/25,74200,76730,73050,73600,648246
2015/8/26,75750,76230,74200,74360,575928
2015/8/27,74300,76200,74100,76160,472478
2015/8/28,76400,78900,76360,78610,624826
2015/8/31,78200,79300,76790,76810,674872
2015/9/1,76460,77370,75800,75810,458718
2015/9/2,76000,76690,75560,76510,475672
2015/9/7,76200,77200,76190,77000,293244
2015/9/8,76870,76940,75300,76190,595808
2015/9/9,77090,78870,76730,77790,1253336
2015/9/10,78210,78720,77120,78710,1047802
2015/9/11,79400,80220,78750,79410,1420664
2015/9/14,79100,79900,78230,78260,1062540
2015/9/15,77480,78060,76860,76960,1094660
2015/9/16,77320,79380,77270,78950,1478896
2015/9/17,78800,79330,78300,78590,1678798
2015/9/18,78110,78580,77810,77890,1444806
2015/9/21,77200,78190,76320,78110,1442658
2015/9/22,77790,77970,76940,77090,1253948
2015/9/23,76780,76980,76030,76740,1147082
2015/9/24,76940,77110,76300,76760,779346
2015/9/25,76680,77850,76600,77100,979700
2015/9/28,77300,77800,77220,77410,384820
2015/9/29,77210,77420,75500,75540,646524
2015/9/30,76260,77110,75950,77100,479410
2015/10/8,78200,78530,77300,77450,244958
2015/10/9,77510,79470,77360,79450,663132
2015/10/12,81000,81000,79000,80310,786262
2015/10/13,80370,80380,78820,79620,632286
2015/10/14,79300,79880,78970,79270,676222
2015/10/15,79400,80700,79200,80340,875794
2015/10/16,80230,80900,79900,80390,820446
2015/10/19,80280,80650,79110,79150,675768
2015/10/20,79150,79290,78050,78320,673374
2015/10/21,78450,78690,77900,78130,563356
2015/10/22,78100,79600,77710,78660,546592
2015/10/23,78960,80010,78590,79980,669468
