tradeDate,open,high,low,close,volume
2011/3/25,18935,19135,18860,18950,24858
2011/3/28,18900,19035,18500,18605,16960
2011/3/29,18530,18735,18485,18675,10618
2011/3/30,18800,18850,18695,18760,8086
2011/3/31,18700,18720,18580,18665,3056
2011/4/1,18780,18780,18570,18640,2550
2011/4/6,18675,19360,18675,19220,15400
2011/4/7,19200,19300,19035,19075,10426
2011/4/8,19090,19250,19005,19175,8434
2011/4/11,19250,19440,19145,19210,13938
2011/4/12,19000,19125,18790,18800,9256
2011/4/13,18610,18745,18540,18715,5566
2011/4/14,18555,18690,18540,18580,3846
2011/4/15,18605,18780,18505,18580,9992
2011/4/18,18575,18650,18525,18580,3334
2011/4/19,18300,18350,17950,17980,8390
2011/4/20,18065,18180,18065,18165,2930
2011/4/21,18300,18300,18140,18180,2504
2011/4/22,18235,18235,17880,17975,3420
2011/4/25,17980,18050,17760,17760,2102
2011/4/26,17695,17695,17420,17645,3506
2011/4/27,17620,17790,17420,17550,2974
2011/4/28,17555,17850,17555,17755,3278
2011/4/29,17665,17725,17530,17550,1548
2011/5/3,17550,17650,17460,17530,1902
2011/5/4,17590,17595,17440,17480,1140
2011/5/5,17310,17310,16450,16715,4070
2011/5/6,16220,16440,16190,16255,6540
2011/5/9,16330,16640,16330,16620,3246
2011/5/10,16505,16710,16465,16645,2760
2011/5/11,16690,17200,16595,16675,3638
2011/5/12,16450,16500,16220,16220,4424
2011/5/13,16475,16740,16340,16705,3836
2011/5/16,16575,16655,16460,16555,2872
2011/5/17,16505,16610,16230,16570,3932
2011/5/18,16735,16855,16620,16710,5218
2011/5/19,17180,17180,16925,16945,5540
2011/5/20,16995,16995,16850,16935,2392
2011/5/23,17000,17075,16565,16610,3602
2011/5/24,16605,16800,16525,16760,2604
2011/5/25,16870,17095,16790,17090,2734
2011/5/26,17050,17230,17050,17205,3132
2011/5/27,17100,17340,17040,17315,3580
2011/5/30,17230,17370,17030,17040,3134
2011/5/31,17115,17180,16895,17095,4284
2011/6/1,17085,17085,16910,16955,2536
2011/6/2,16840,16900,16780,16880,1984
2011/6/3,16710,16980,16675,16890,3534
2011/6/7,16890,17165,16845,17030,4518
2011/6/8,17100,17180,16865,17020,4038
2011/6/9,17105,17130,16985,16985,2072
2011/6/10,17080,17150,16990,17070,2912
2011/6/13,16970,17025,16835,16940,2656
2011/6/14,16965,16975,16820,16940,2002
2011/6/15,17030,17070,16955,16980,2338
2011/6/16,16835,16870,16680,16695,2810
2011/6/17,16720,16780,16600,16620,1886
2011/6/20,16550,16630,16455,16470,2086
2011/6/21,16535,16890,16530,16850,3464
2011/6/22,16800,16850,16685,16720,2178
2011/6/23,16905,16910,16715,16855,3360
2011/6/24,16875,17045,16860,17030,4180
2011/6/27,16910,16965,16750,16770,2792
2011/6/28,16850,16955,16820,16865,1684
2011/6/29,16940,16980,16880,16975,2040
2011/6/30,17100,17210,17050,17200,2850
2011/7/1,17200,17235,17125,17160,2112
2011/7/4,17205,17410,17205,17350,2628
2011/7/5,17335,17430,17215,17220,1966
2011/7/6,17280,17355,17250,17315,1612
2011/7/7,17285,17385,17225,17320,1558
2011/7/8,17415,17465,17300,17305,1270
2011/7/11,17220,17305,17070,17170,1868
2011/7/12,17080,17185,17070,17185,1202
2011/7/13,17350,17700,17310,17695,3314
2011/7/14,17550,17595,17480,17555,1836
2011/7/15,17465,17530,17415,17435,1286
2011/7/18,17485,17580,17455,17520,1302
2011/7/19,17585,17740,17565,17735,2182
2011/7/20,17740,17815,17610,17685,1892
2011/7/21,17600,17650,17430,17445,1848
2011/7/22,17485,17580,17485,17580,1024
2011/7/25,17530,17535,17400,17410,1424
2011/7/26,17410,17695,17410,17635,1822
2011/7/27,17670,17835,17645,17770,2620
2011/7/28,17700,17725,17580,17700,2036
2011/7/29,17635,17780,17430,17540,2356
2011/8/1,17570,17660,17530,17600,1316
2011/8/2,17600,17660,17175,17355,2910
2011/8/3,17260,17435,17195,17200,3220
2011/8/4,17190,17240,17015,17080,2346
2011/8/5,16790,16790,16100,16340,2978
2011/8/8,16075,16270,15580,16250,3136
2011/8/9,15495,16155,15200,16025,4860
2011/8/10,16300,16605,16000,16480,3344
